stratum,years,no_of_years,species,percent_change_yr_density,lcl95_d,ucl95_d,f_density_trend,no_of_detections,percent_change_yr_occupancy,lcl95_occ,ucl95_occ,f_occupancy_trend,no_of_points,start_year,end_year,n_years_verify,stratum_name,stratum_short_code,order,d_t,d_n_p,o_t,o_t_p,narrative_single
NNG: Nebraska National Grasslands,2009-2023,15,Pied-billed Grebe,4.020810902,-10.27,21.79,0.64181818199999996,16,8.139563094,-3.79,24.32,0.842222222,16,2009,2023,15,Nebraska National Grasslands,NNG,2,4.02,estimated an uncertain,8.14,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 4.02% [95% CL -10.27%, 21.79%, (n=16, f=0.642)] per year and estimated an uncertain median occupancy trend of 8.14% [95% CL -3.79%, 24.32%, (n=16, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Pine Siskin,4.6081339290000001,-33.39,61.18,0.54680851100000005,10,-3.459506484,-34.46,31.79,0.589361702,8,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,4.61,estimated an uncertain,-3.46,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 4.61% [95% CL -33.39%, 61.18%, (n=10, f=0.547)] per year and estimated an uncertain median occupancy trend of -3.46% [95% CL -34.46%, 31.79%, (n=8, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Pine Siskin,-5.1662573529999998,-36.29,42.62,0.64893617000000003,6,-5.431512597,-32.49,24.9,0.661702128,6,2013,2023,11,Nebraska National Grasslands,NNG,2,-5.17,estimated an uncertain,-5.43,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -5.17% [95% CL -36.29%, 42.62%, (n=6, f=0.649)] per year and estimated an uncertain median occupancy trend of -5.43% [95% CL -32.49%, 24.9%, (n=6, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Plumbeous Vireo,-6.697618115,-29.1,22.34,0.72222222199999997,5,-6.209057147,-27.57,23.98,0.719607843,4,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-6.7,estimated an uncertain,-6.21,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -6.7% [95% CL -29.1%, 22.34%, (n=5, f=0.722)] per year and estimated an uncertain median occupancy trend of -6.21% [95% CL -27.57%, 23.98%, (n=4, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Plumbeous Vireo,-7.3072374619999998,-31.14,18.45,0.735555556,6,-9.761988139,-31.04,15.11,0.815686275,6,2013,2023,11,Nebraska National Grasslands,NNG,2,-7.31,estimated an uncertain,-9.76,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -7.31% [95% CL -31.14%, 18.45%, (n=6, f=0.736)] per year and estimated an uncertain median occupancy trend of -9.76% [95% CL -31.04%, 15.11%, (n=6, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Prairie Falcon,19.4640442,3.1,39.58,0.98823529399999999,2,19.27612932,1.45,37.34,0.979757085,2,2009,2023,15,Nebraska National Grasslands,NNG,2,19.46,estimated a increasing,19.28,estimated a increasing,"Nebraska National Grasslands (NNG) estimated a increasing median density population trend of 19.46% [95% CL 3.1%, 39.58%, (n=2, f=0.988)] per year and estimated a increasing median occupancy trend of 19.28% [95% CL 1.45%, 37.34%, (n=2, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Pygmy Nuthatch,0.123446448,-18.84,23.75,0.52500000000000002,45,1.143064654,-17.94,23.12,0.503846154,38,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,0.12,estimated an uncertain,1.14,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 0.12% [95% CL -18.84%, 23.75%, (n=45, f=0.525)] per year and estimated an uncertain median occupancy trend of 1.14% [95% CL -17.94%, 23.12%, (n=38, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Pygmy Nuthatch,-8.6722284819999995,-32.87,22.29,0.75833333300000005,11,-7.027104893,-32.64,19.6,0.723076923,9,2013,2023,11,Nebraska National Grasslands,NNG,2,-8.67,estimated an uncertain,-7.03,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -8.67% [95% CL -32.87%, 22.29%, (n=11, f=0.758)] per year and estimated an uncertain median occupancy trend of -7.03% [95% CL -32.64%, 19.6%, (n=9, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-breasted Nuthatch,-6.5699195320000001,-23.91,13.09,0.79,79,-7.491137836,-24.22,8.84,0.845454545,38,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-6.57,estimated an uncertain,-7.49,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -6.57% [95% CL -23.91%, 13.09%, (n=79, f=0.79)] per year and estimated an uncertain median occupancy trend of -7.49% [95% CL -24.22%, 8.84%, (n=38, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Red-breasted Nuthatch,-5.0556457330000004,-24.09,16.05,0.72499999999999998,10,-5.199959358,-22.9,11.73,0.767272727,7,2009,2023,15,Nebraska National Grasslands,NNG,2,-5.06,estimated an uncertain,-5.2,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -5.06% [95% CL -24.09%, 16.05%, (n=10, f=0.725)] per year and estimated an uncertain median occupancy trend of -5.2% [95% CL -22.9%, 11.73%, (n=7, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-bellied Woodpecker,14.53023095,-14.84,47.79,0.828333333,2,2.654546927,-17.32,36.54,0.540425532,2,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,14.53,estimated an uncertain,2.65,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 14.53% [95% CL -14.84%, 47.79%, (n=2, f=0.828)] per year and estimated an uncertain median occupancy trend of 2.65% [95% CL -17.32%, 36.54%, (n=2, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red Crossbill,4.3274584650000003,-10.97,20.84,0.68400000000000005,65,2.999864531,-11.02,19.13,0.608510638,44,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,4.33,estimated an uncertain,3,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 4.33% [95% CL -10.97%, 20.84%, (n=65, f=0.684)] per year and estimated an uncertain median occupancy trend of 3% [95% CL -11.02%, 19.13%, (n=44, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Red Crossbill,23.22358427,4.74,45.51,0.99199999999999999,42,21.03165656,4.51,41.81,0.991489362,26,2009,2023,15,Nebraska National Grasslands,NNG,2,23.22,estimated a increasing,21.03,estimated a increasing,"Nebraska National Grasslands (NNG) estimated a increasing median density population trend of 23.22% [95% CL 4.74%, 45.51%, (n=42, f=0.992)] per year and estimated a increasing median occupancy trend of 21.03% [95% CL 4.51%, 41.81%, (n=26, f=1)] per year from 2009 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Redhead,4.2215752660000003,-23.04,40.19,0.59433962299999998,4,1.345066268,-23.85,30.99,0.509615385,3,2013,2023,11,Nebraska National Grasslands,NNG,2,4.22,estimated an uncertain,1.35,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 4.22% [95% CL -23.04%, 40.19%, (n=4, f=0.594)] per year and estimated an uncertain median occupancy trend of 1.35% [95% CL -23.85%, 30.99%, (n=3, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-eyed Vireo,4.5842001200000002,-15.39,28.22,0.63846153800000005,21,3.040978164,-14.08,24.63,0.572727273,14,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,4.58,estimated an uncertain,3.04,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 4.58% [95% CL -15.39%, 28.22%, (n=21, f=0.638)] per year and estimated an uncertain median occupancy trend of 3.04% [95% CL -14.08%, 24.63%, (n=14, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-headed Woodpecker,8.1233656360000008,-3.6,20.68,0.87446808499999995,241,7.658646371,-3.65,21.67,0.880851064,81,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,8.12,estimated an uncertain,7.66,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 8.12% [95% CL -3.6%, 20.68%, (n=241, f=0.874)] per year and estimated an uncertain median occupancy trend of 7.66% [95% CL -3.65%, 21.67%, (n=81, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Red-headed Woodpecker,5.7444499450000004,-8.55,25.95,0.73191489399999998,238,0.500620875,-14.01,21.09,0.519148936,89,2013,2023,11,Nebraska National Grasslands,NNG,2,5.74,estimated an uncertain,0.5,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 5.74% [95% CL -8.55%, 25.95%, (n=238, f=0.732)] per year and estimated an uncertain median occupancy trend of 0.5% [95% CL -14.01%, 21.09%, (n=89, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Ring-necked Duck,-8.243693575,-34.88,29.59,0.72444444399999997,1,-4.341671461,-31.09,25.01,0.64,1,2013,2023,11,Nebraska National Grasslands,NNG,2,-8.24,estimated an uncertain,-4.34,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -8.24% [95% CL -34.88%, 29.59%, (n=1, f=0.724)] per year and estimated an uncertain median occupancy trend of -4.34% [95% CL -31.09%, 25.01%, (n=1, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Ring-necked Pheasant,8.9220166459999994,-6.35,33.7,0.82666666700000002,69,1.338971196,-12.61,20.14,0.515,67,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,8.92,estimated an uncertain,1.34,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 8.92% [95% CL -6.35%, 33.7%, (n=69, f=0.827)] per year and estimated an uncertain median occupancy trend of 1.34% [95% CL -12.61%, 20.14%, (n=67, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Ring-necked Pheasant,3.7905309979999999,-2.45,10.21,0.806666667,387,5.651633915,0.58,11.75,0.965,315,2009,2023,15,Nebraska National Grasslands,NNG,2,3.79,estimated an uncertain,5.65,estimated a increasing,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 3.79% [95% CL -2.45%, 10.21%, (n=387, f=0.807)] per year and estimated a increasing median occupancy trend of 5.65% [95% CL 0.58%, 11.75%, (n=315, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-naped Sapsucker,-4.7021260099999997,-25.25,20.38,0.66730769199999995,1,-3.818712934,-25.49,17.25,0.7,1,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-4.7,estimated an uncertain,-3.82,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -4.7% [95% CL -25.25%, 20.38%, (n=1, f=0.667)] per year and estimated an uncertain median occupancy trend of -3.82% [95% CL -25.49%, 17.25%, (n=1, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Rock Pigeon,1.7349778090000001,-15.84,27.04,0.528409091,2,-2.888009531,-17.94,13.85,0.672727273,0,2009,2023,15,Nebraska National Grasslands,NNG,2,1.73,estimated an uncertain,-2.89,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 1.73% [95% CL -15.84%, 27.04%, (n=2, f=0.528)] per year and estimated an uncertain median occupancy trend of -2.89% [95% CL -17.94%, 13.85%, (n=0, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Rock Wren,3.789817813,-8.44,20.77,0.676666667,71,11.85169312,-6.62,33.85,0.878181818,20,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,3.79,estimated an uncertain,11.85,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 3.79% [95% CL -8.44%, 20.77%, (n=71, f=0.677)] per year and estimated an uncertain median occupancy trend of 11.85% [95% CL -6.62%, 33.85%, (n=20, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Rock Wren,-1.518367013,-11.68,11.13,0.681666667,69,-0.077888605,-9.57,12.84,0.590909091,27,2009,2023,15,Nebraska National Grasslands,NNG,2,-1.52,estimated an uncertain,-0.08,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -1.52% [95% CL -11.68%, 11.13%, (n=69, f=0.682)] per year and estimated an uncertain median occupancy trend of -0.08% [95% CL -9.57%, 12.84%, (n=27, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-tailed Hawk,-0.57388778799999995,-9.19,8.36,0.64345991599999997,45,-2.063694215,-10.59,6.95,0.738396624,46,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-0.57,estimated an uncertain,-2.06,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -0.57% [95% CL -9.19%, 8.36%, (n=45, f=0.643)] per year and estimated an uncertain median occupancy trend of -2.06% [95% CL -10.59%, 6.95%, (n=46, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Red-tailed Hawk,0.49539714699999998,-5.97,6.67,0.56962025299999997,21,-0.029341041000000002,-6.98,7.47,0.603375527,22,2009,2023,15,Nebraska National Grasslands,NNG,2,0.5,estimated an uncertain,-0.03,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 0.5% [95% CL -5.97%, 6.67%, (n=21, f=0.57)] per year and estimated an uncertain median occupancy trend of -0.03% [95% CL -6.98%, 7.47%, (n=22, f=1)] per year from 2009 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Ruddy Duck,1.4169679879999999,-15.36,20.3,0.50968992199999996,4,-1.959497561,-16.23,16.1,0.624444444,3,2009,2023,15,Nebraska National Grasslands,NNG,2,1.42,estimated an uncertain,-1.96,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 1.42% [95% CL -15.36%, 20.3%, (n=4, f=0.51)] per year and estimated an uncertain median occupancy trend of -1.96% [95% CL -16.23%, 16.1%, (n=3, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Red-winged Blackbird,0.29276981200000002,-11.81,16.93,0.54888888899999999,147,3.529456479,-10.51,20.83,0.626666667,39,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,0.29,estimated an uncertain,3.53,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 0.29% [95% CL -11.81%, 16.93%, (n=147, f=0.549)] per year and estimated an uncertain median occupancy trend of 3.53% [95% CL -10.51%, 20.83%, (n=39, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Red-winged Blackbird,2.5695628400000001,-2.87,8.5,0.70444444399999995,1781,5.760071773,0.19,11.74,0.942222222,485,2009,2023,15,Nebraska National Grasslands,NNG,2,2.57,estimated an uncertain,5.76,estimated a increasing,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 2.57% [95% CL -2.87%, 8.5%, (n=1,781, f=0.704)] per year and estimated a increasing median occupancy trend of 5.76% [95% CL 0.19%, 11.74%, (n=485, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Say's Phoebe,5.02497375,-13.2,30.96,0.631914894,3,3.543662208,-14.59,26.2,0.587234043,1,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,5.02,estimated an uncertain,3.54,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 5.02% [95% CL -13.2%, 30.96%, (n=3, f=0.632)] per year and estimated an uncertain median occupancy trend of 3.54% [95% CL -14.59%, 26.2%, (n=1, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Say's Phoebe,-0.14201539199999999,-11.36,10.81,0.595744681,35,-0.774734368,-10.71,9.24,0.642553191,19,2009,2023,15,Nebraska National Grasslands,NNG,2,-0.14,estimated an uncertain,-0.77,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -0.14% [95% CL -11.36%, 10.81%, (n=35, f=0.596)] per year and estimated an uncertain median occupancy trend of -0.77% [95% CL -10.71%, 9.24%, (n=19, f=1)] per year from 2009 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Savannah Sparrow,5.1064912290000004,-15.01,32.88,0.63111111099999995,14,7.247592211,-10.08,30.25,0.746666667,11,2009,2023,15,Nebraska National Grasslands,NNG,2,5.11,estimated an uncertain,7.25,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 5.11% [95% CL -15.01%, 32.88%, (n=14, f=0.631)] per year and estimated an uncertain median occupancy trend of 7.25% [95% CL -10.08%, 30.25%, (n=11, f=1)] per year from 2009 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Short-eared Owl,-1.2879183869999999,-16.23,14.29,0.65777777800000004,37,-4.545327176,-17.61,8.85,0.826923077,9,2009,2023,15,Nebraska National Grasslands,NNG,2,-1.29,estimated an uncertain,-4.55,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -1.29% [95% CL -16.23%, 14.29%, (n=37, f=0.658)] per year and estimated an uncertain median occupancy trend of -4.55% [95% CL -17.61%, 8.85%, (n=9, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Sora,-0.50484490500000001,-27.59,34.76,0.54468085099999997,1,-0.471515004,-31.04,39.86,0.536,1,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-0.5,estimated an uncertain,-0.47,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -0.5% [95% CL -27.59%, 34.76%, (n=1, f=0.545)] per year and estimated an uncertain median occupancy trend of -0.47% [95% CL -31.04%, 39.86%, (n=1, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Sora,6.7652415069999998,-10.79,27.86,0.72978723400000001,4,6.26331958,-9.24,30.54,0.722,4,2009,2023,15,Nebraska National Grasslands,NNG,2,6.77,estimated an uncertain,6.26,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 6.77% [95% CL -10.79%, 27.86%, (n=4, f=0.73)] per year and estimated an uncertain median occupancy trend of 6.26% [95% CL -9.24%, 30.54%, (n=4, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Song Sparrow,5.4977676139999998,-16.41,34.97,0.64444444400000001,1,1.601133043,-23.56,28.89,0.519148936,0,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,5.5,estimated an uncertain,1.6,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 5.5% [95% CL -16.41%, 34.97%, (n=1, f=0.644)] per year and estimated an uncertain median occupancy trend of 1.6% [95% CL -23.56%, 28.89%, (n=0, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Song Sparrow,6.2306791830000003,-14.95,35.16,0.66222222200000003,1,4.37504666,-17.45,31.93,0.587234043,1,2013,2023,11,Nebraska National Grasslands,NNG,2,6.23,estimated an uncertain,4.38,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 6.23% [95% CL -14.95%, 35.16%, (n=1, f=0.662)] per year and estimated an uncertain median occupancy trend of 4.38% [95% CL -17.45%, 31.93%, (n=1, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Spotted Sandpiper,0.18891261500000001,-19.7,25.11,0.53090909100000006,2,1.219342789,-18.54,27.4,0.507633588,0,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,0.19,estimated an uncertain,1.22,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 0.19% [95% CL -19.7%, 25.11%, (n=2, f=0.531)] per year and estimated an uncertain median occupancy trend of 1.22% [95% CL -18.54%, 27.4%, (n=0, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Spotted Towhee,2.484838581,-6.31,11.06,0.65200000000000002,404,0.131765606,-9,10.25,0.556666667,220,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,2.48,estimated an uncertain,0.13,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 2.48% [95% CL -6.31%, 11.06%, (n=404, f=0.652)] per year and estimated an uncertain median occupancy trend of 0.13% [95% CL -9%, 10.25%, (n=220, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Spotted Towhee,22.909901349999998,8.25,39.33,1,283,23.42026216,9.1,39.68,0.996666667,145,2009,2023,15,Nebraska National Grasslands,NNG,2,22.91,estimated a increasing,23.42,estimated a increasing,"Nebraska National Grasslands (NNG) estimated a increasing median density population trend of 22.91% [95% CL 8.25%, 39.33%, (n=283, f=1)] per year and estimated a increasing median occupancy trend of 23.42% [95% CL 9.1%, 39.68%, (n=145, f=1)] per year from 2009 to 2023"
NNG: Nebraska National Grasslands,2013-2023,11,Sharp-shinned Hawk,-6.3055761449999999,-22.96,12.9,0.80651340999999999,5,-3.779165889,-21.97,16.38,0.689393939,5,2013,2023,11,Nebraska National Grasslands,NNG,2,-6.31,estimated an uncertain,-3.78,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of -6.31% [95% CL -22.96%, 12.9%, (n=5, f=0.807)] per year and estimated an uncertain median occupancy trend of -3.78% [95% CL -21.97%, 16.38%, (n=5, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Sharp-tailed Grouse,-6.051276605,-19.14,6.74,0.85636363599999998,61,-6.272527637,-17.29,6.52,0.870909091,48,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-6.05,estimated an uncertain,-6.27,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -6.05% [95% CL -19.14%, 6.74%, (n=61, f=0.856)] per year and estimated an uncertain median occupancy trend of -6.27% [95% CL -17.29%, 6.52%, (n=48, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Sharp-tailed Grouse,5.8300239679999999,-3.9,15.66,0.83636363599999997,52,3.3900402,-7.08,16.08,0.645454545,46,2009,2023,15,Nebraska National Grasslands,NNG,2,5.83,estimated an uncertain,3.39,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 5.83% [95% CL -3.9%, 15.66%, (n=52, f=0.836)] per year and estimated an uncertain median occupancy trend of 3.39% [95% CL -7.08%, 16.08%, (n=46, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Swainson's Hawk,1.44650612,-12.41,23.58,0.52024291499999997,2,2.667676875,-11.06,19.96,0.586538462,2,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,1.45,estimated an uncertain,2.67,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 1.45% [95% CL -12.41%, 23.58%, (n=2, f=0.52)] per year and estimated an uncertain median occupancy trend of 2.67% [95% CL -11.06%, 19.96%, (n=2, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Swainson's Hawk,0.61153165099999995,-9.68,14.25,0.51417003999999999,8,-1.000937386,-10.5,12.55,0.625,9,2009,2023,15,Nebraska National Grasslands,NNG,2,0.61,estimated an uncertain,-1,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated an uncertain median density population trend of 0.61% [95% CL -9.68%, 14.25%, (n=8, f=0.514)] per year and estimated an uncertain median occupancy trend of -1% [95% CL -10.5%, 12.55%, (n=9, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Townsend's Solitaire,-7.6006169850000003,-27.99,16.09,0.78800000000000003,1,-7.963368492,-27.44,13.05,0.812236287,1,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-7.6,estimated an uncertain,-7.96,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -7.6% [95% CL -27.99%, 16.09%, (n=1, f=0.788)] per year and estimated an uncertain median occupancy trend of -7.96% [95% CL -27.44%, 13.05%, (n=1, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Tree Swallow,-2.1992328790000002,-18.18,16.29,0.66274509800000003,3,-2.841730738,-19.62,15.33,0.656118143,2,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,-2.2,estimated an uncertain,-2.84,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of -2.2% [95% CL -18.18%, 16.29%, (n=3, f=0.663)] per year and estimated an uncertain median occupancy trend of -2.84% [95% CL -19.62%, 15.33%, (n=2, f=1)] per year from 2013 to 2023"
NNG: Nebraska National Grasslands,2009-2023,15,Tree Swallow,-8.3736344260000006,-19.83,4.1,0.92745098000000004,7,-5.888272237,-17.51,8.28,0.864978903,6,2009,2023,15,Nebraska National Grasslands,NNG,2,-8.37,estimated a decreasing,-5.89,estimated an uncertain,"Nebraska National Grasslands (NNG) estimated a decreasing median density population trend of -8.37% [95% CL -19.83%, 4.1%, (n=7, f=0.927)] per year and estimated an uncertain median occupancy trend of -5.89% [95% CL -17.51%, 8.28%, (n=6, f=1)] per year from 2009 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Trumpeter Swan,6.1343535410000003,-23.29,48.16,0.63333333300000005,1,3.874203708,-24.69,41.19,0.58,1,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,6.13,estimated an uncertain,3.87,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 6.13% [95% CL -23.29%, 48.16%, (n=1, f=0.633)] per year and estimated an uncertain median occupancy trend of 3.87% [95% CL -24.69%, 41.19%, (n=1, f=1)] per year from 2013 to 2023"
NNF: Nebraska National Forests 2013-2023,2013-2023,11,Turkey Vulture,3.469834869,-7.9,16.04,0.668560606,30,4.895327428,-7.73,16.6,0.763461538,26,2013,2023,11,Nebraska National Forests 2013-2023,NNF,2,3.47,estimated an uncertain,4.9,estimated an uncertain,"Nebraska National Forests 2013-2023 (NNF) estimated an uncertain median density population trend of 3.47% [95% CL -7.9%, 16.04%, (n=30, f=0.669)] per year and estimated an uncertain median occupancy trend of 4.9% [95% CL -7.73%, 16.6%, (n=26, f=1)] per year from 2013 to 2023"
